HTML and CSS 8 hours,,,,
What is a Browser ?,,,,
"Understang HTML tags , DOCTYPE, Metadata",,,,
What is CSS,,,,
What is protocol [HTTP/HTTPS....] ?,,,,
What is a URL ?,,,,
HTML Attributes,,,,
HTML Text formatting,,,,
HTML quotations,,,,
HTML Comments,,,,
CSS Height / width,,,,
https://2021.stateofjs.com/en-US/libraries/front-end-frameworks/,,,,
HTML Colours,,,,
Box-model,,,,
vscode setup,,,,
HTML CSS,,,,
"Positions,Dimensions,Display,z-index,font-styling ,box-model,selectors",,,,
HTML Links,,,,
HTML Images,,,,
HTML Favicon,,,,
Block vs Inline,,,,
Overflow,,,,
HTML Classes,,,,
CSS Float and Clear,,,,
HTML Iframes,,,,
HTML Javascript,,,,
CSS Pseudo Elements,,,,
Semanic HTML and Layouting,,,,
Responsive HTML,,,,
HTML Computer code,,,,
HTML Entities,,,,
CSS Advanced,,,,
HTML Symbols,,,,
HTML Emojis,,,,
HTML Charsets,,,,
HTML Forms,,,,
HTML Form attributes,,,,
HTML Form elements,,,,
HTML Input Types,,,,
HTML Graphics,,,,
HTML Media,,,,
HTML - API - GEOLOCATION,,,,
HTML Drag/Drop,,,,
HTML Webworkers,,,,
